location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
Afghanistan,AFG,2021-03-16,54000,54000,,,2862,0.14,0.14,,74
Africa,OWID_AFR,2021-06-03,34365454,25234549,8914235,278659,668496,2.56,1.88,0.66,499
Albania,ALB,2021-02-18,3049,2438,611,1348,254,0.11,0.08,0.02,88
Andorra,AND,2021-03-08,3611,2439,1172,,108,4.67,3.16,1.52,1398
Algeria,DZA,2021-02-19,75000,,,,3748,0.17,,,85
Angola,AGO,2021-03-29,130750,130750,,,8057,0.4,0.4,,245
Armenia,ARM,2021-03-31,565,565,,,,0.02,0.02,,
Anguilla,AIA,2021-04-22,6898,6115,783,,106,45.98,40.76,5.22,7066
Aruba,ABW,2021-04-10,41096,29197,11899,,1278,38.49,27.35,11.14,11970
Antigua and Barbuda,ATG,2021-05-31,50329,33463,16866,,1278,51.39,34.17,17.22,13050
Argentina,ARG,2021-06-03,13079195,10158653,2920542,278080,225103,28.94,22.48,6.46,4981
Aruba,ABW,2021-04-10,41096,29197,11899,,1278,38.49,27.35,11.14,11970
Asia,OWID_ASI,2021-06-03,1141619085,289713309,108103001,23379126,25069206,24.6,6.24,2.33,5403
Australia,AUS,2021-06-03,4642703,4093811,548892,141259,105148,18.21,16.05,2.15,4123
Austria,AUT,2021-06-03,5419428,3786633,1684716,52163,75320,60.17,42.04,18.71,8363
